Supporting Information,,,,,,
Prediction of Energetic Material Properties from Electronic Structure using 3D Convolutional Neural Networks,,,,,,
Alex D. Casey,,"School of Mechanical Engineering, Purdue University, West Lafayette, Indiana 47907, USA",alex.casey.13@gmail.com,,,
CN(C=O)N1C=C(C=N1)[N+]([O-])=O,-638.672831,5.286669648,2.4002,1.513,8.519,train
O=C1OC2=NON=C(C#C)C2=N1,-618.9593211,4.045820688,3.5827,1.686,61.957,train
NC1=NC(=NC(=N1)[N+]([O-])=O)C#C,-616.3797554,4.958769868,5.9652,1.64,76.171,train
OC1=CC2=C(N1)C(=NN2)[N+]([O-])=O,-637.4737744,3.862142388,7.6874,1.823,9.718,train
OCC1=C(C(=NN1)C#N)[N+]([O-])=O,-637.4702928,5.25047822,8.3875,1.666,9.445,train
CN(C=N)C1=CC(=NO1)[N+]([O-])=O,-638.6510943,4.117659312,8.0488,1.57,20.377,train
OCCN=C1NC=C(O1)[N+]([O-])=O,-659.7583099,3.7143834,8.0109,1.612,-61.991,train
[O-][N+](=O)C1=NC=C(COC=N)N1,-638.7106927,4.66406824,6.9565,1.587,-16.495,train
CN1C=C(C2=C1N=NO2)[N+]([O-])=O,-637.4244857,4.880944692,7.1589,1.642,46.719,train
ON1C(O)=CC(=CC1=N)[N+]([O-])=O,-658.5291726,3.188383172,3.3904,1.665,-30.537,train
[O-][N+](=O)C1=CN=NN=C1CC=O,-637.4243564,4.085277508,2.8419,1.594,47.43,train
OC1=CC=NC(=O)C(=N1)[N+]([O-])=O,-657.3311472,3.977791688,5.7447,1.7,-27.475,train
NC1=COC(=N)C(=C1O)[N+]([O-])=O,-658.5457687,4.192763328,9.8384,1.766,-48.063,train
ON1N=C(C=C1[N+]([O-])=O)C1CO1,-658.4525253,4.464335096,4.5709,1.637,11.889,train
CNC1=C(N(C)OC1=O)[N+]([O-])=O,-659.7468277,3.37968072,2.1871,1.536,-47.734,train
O=C1ON=C2C3=CON=C3C2=N1,-618.9413076,4.273309664,5.531,1.77,77.334,test
CC1=C(N(N=C1)C(O)=O)[N+]([O-])=O,-658.5813643,4.989791092,6.1708,1.62,-62.904,train
CN=CN1OC(=O)C(=C1)[N+]([O-])=O,-658.5177611,4.338617504,7.8876,1.588,-25.333,train
CC1(CN1)C1=NOC(=N1)[N+]([O-])=O,-638.627206,3.7347921,2.5869,1.513,35.061,train
NNC=C1OC(=O)C(=C1)[N+]([O-])=O,-658.5407844,3.520364692,10.9981,1.742,-48.685,train
[O-][N+](=O)C1=CNN2OC(=N)C=C12,-637.3849108,3.36607492,5.7738,1.725,67.498,train
ON(C=N)C1=C(C=CO1)[N+]([O-])=O,-658.4879152,3.95112432,5.9191,1.652,-9.512,train
[O-][N+](=O)C1=C(ON=N1)C(=O)C=C,-657.2686678,4.557398768,5.2165,1.62,17.009,train
CC(=O)C1=CN(O)C(=N1)[N+]([O-])=O,-658.5310295,3.963641656,1.1079,1.603,-31.33,train
[O-][N+](=O)C1=NN(N=C1)C(=C)C#N,-616.3524928,4.770737712,1.9396,1.542,102.979,train
NCC1=C(N)C(=C(O)O1)[N+]([O-])=O,-659.7718381,3.681185248,4.2951,1.635,-72.529,train
CN1C=NC(O)=C(C1=N)[N+]([O-])=O,-638.7203589,4.201198924,6.9013,1.643,-22.348,train
NC(=N)OC1=CC(=CN1)[N+]([O-])=O,-638.7185455,4.42324558,9.2895,1.706,-27.55,train
OCC1=C(C=NN1C=O)[N+]([O-])=O,-658.5630243,4.941354444,3.4797,1.619,-51.587,train
NC1=NOC(N2CC2)=C1[N+]([O-])=O,-638.6390232,4.338345388,2.3849,1.575,25.145,train
NC(=O)NC1=CC(=CO1)[N+]([O-])=O,-658.595497,4.061875532,8.0004,1.713,-80.769,train
[O-][N+](=O)C1=NOC(=N1)C1CNC1,-638.6279841,3.886360712,5.0011,1.537,33.496,test
CNC1=C(OC(OC)=N1)[N+]([O-])=O,-659.7865502,4.323106892,7.3191,1.561,-76.996,train
OCCC1=NC=NC(=N1)[N+]([O-])=O,-638.7058999,4.63005374,2.9952,1.532,-15.874,train
OC(C#C)C1=C(NN=N1)[N+]([O-])=O,-637.3848606,4.219430696,2.1566,1.599,64.79,train
[O-][N+](=O)C1=NN2N=CC=C2C=N1,-616.3731559,4.492090928,6.7439,1.649,91.459,train
[O-][N+](=O)C1=NC2=C(N1)C(=O)OC2,-657.3703029,4.589780572,1.2383,1.746,-52.892,test
[O-][N+](=O)C1=CNC2=C1NC(=N)O2,-637.4753912,3.419681772,5.5122,1.747,10.521,train
NC(=C)C1=C(NC(=O)N1)[N+]([O-])=O,-638.7285816,3.477098248,5.0024,1.632,-29.113,train
NN1C(=O)N2CCC2=C1[N+]([O-])=O,-638.6476736,3.747309436,4.7159,1.603,19.498,train
NC1=C(C=NC(=O)C=N1)[N+]([O-])=O,-637.4868028,4.085005392,4.8153,1.672,4.871,train
NC1=C(OC(C=C1)=NO)[N+]([O-])=O,-658.5091301,3.104571444,6.5959,1.73,-24.578,train
[O-][N+](=O)C1=CNC(=O)N=CC1=O,-657.3460242,4.40963978,3.8447,1.722,-35.861,train
NC1=CC(=O)OC(=C1N)[N+]([O-])=O,-658.5912918,3.601999492,8.5885,1.745,-76.62,train
OCC#CC1=NC(=NN1)[N+]([O-])=O,-637.4181601,5.172108812,6.3386,1.638,38.889,train
CC1=NC=NC(NO)=C1[N+]([O-])=O,-638.6754747,4.271676968,1.5907,1.555,9.295,train
OC1=CC(=O)C=NC=C1[N+]([O-])=O,-641.2904177,3.219676512,1.6035,1.634,-33.181,train
CC=CON1C=C(N=N1)[N+]([O-])=O,-638.5887071,4.892101448,6.8066,1.489,62.687,train
[O-][N+](=O)C1=CC2=C(O1)C=CON2,-641.2210456,3.1565456,5.8748,1.708,5.424,train
CC1=C(N=CN1C=NO)[N+]([O-])=O,-638.661338,4.853733092,7.2133,1.618,13.064,train
[O-][N+](=O)C1=NOC(=N1)C1COC1,-658.4892063,4.40691862,4.2951,1.608,-9.719,test
CC1C(=O)N2N=C(N=C12)[N+]([O-])=O,-637.4427553,5.205306964,6.1477,1.623,31.099,train
NN1C(=NC=C1[N+]([O-])=O)C1CO1,-638.6405478,4.486376492,2.6486,1.573,25.07,train
CC(O)C1=C(C=NN1O)[N+]([O-])=O,-659.7219654,5.073330704,3.8037,1.589,-35.542,train
NCC1=CN=C(C(=N)O1)[N+]([O-])=O,-638.6663672,4.229771104,7.5422,1.545,8.189,train
COC1=CC(=NN1C=N)[N+]([O-])=O,-638.6726276,4.642843192,6.6532,1.54,9.554,train
CC=NN1OC(=CC1=O)[N+]([O-])=O,-658.4831607,3.673293884,2.8573,1.557,-1.551,train
[O-][N+](=O)C1=C2N=CC=CN2N=N1,-616.3799572,4.636584524,8.5927,1.682,85.967,train
NCC(=C)C1=C(ON=N1)[N+]([O-])=O,-638.6166951,4.028949496,4.372,1.507,46.55,train
CC(=O)N1C=C(NC1=N)[N+]([O-])=O,-638.7256313,3.47356074,3.5575,1.564,-24.644,train
[O-][N+](=O)C1=CC=C2ONC(=N)N12,-637.4287473,4.078202492,4.7222,1.69,44.28,train
CC=CN1ON=C(C1=O)[N+]([O-])=O,-658.4621962,3.601183144,5.9003,1.545,13.01,train
CON1N=CC(=CC1=O)[N+]([O-])=O,-658.4976331,3.7756095,2.6595,1.577,-8.508,train
OC1=C2CNC2=NN=C1[N+]([O-])=O,-637.4339094,4.222151856,6.1203,1.712,36.398,test
CC1=CC(=O)C(=NN=N1)[N+]([O-])=O,-637.3811278,4.136435316,5.4049,1.556,74.121,train
[O-][N+](=O)C1=NN=CC2=C1NC2=O,-636.2123345,4.048269732,3.7126,1.734,58.075,train
COC1=NC(C=O)=C(N1)[N+]([O-])=O,-658.570621,4.120380472,7.0042,1.644,-58.851,train
NC(=O)C1=CC=NC(=N1)[N+]([O-])=O,-637.5317412,4.65182302,2.8446,1.624,-22.339,train
NC(=O)OC1=C(C=CN1)[N+]([O-])=O,-658.6106658,4.57426996,5.4559,1.729,-87.839,train
NC1=C(C#C)C(=C(O)O1)[N+]([O-])=O,-641.244811,3.885544364,7.2145,1.732,-18.964,train
NC1=CN=NC(CO)=C1[N+]([O-])=O,-638.6852817,3.687988148,5.3491,1.657,-3.03,train
ON1N=CC(=C1N1CC1)[N+]([O-])=O,-638.5945313,4.665156704,5.0284,1.618,52.079,train
[O-][N+](=O)C1=CNN=C1COC=N,-638.6829963,4.839310944,5.6319,1.599,-0.839,train
CC1=NN=NC(C=O)=C1[N+]([O-])=O,-637.4232302,4.239839396,1.5266,1.554,49.13,train
[O-][N+](=O)C1=NC2=CNC(=O)C2=N1,-636.2491555,3.216955352,9.3302,1.833,30.389,test
[O-][N+](=O)C1=C2CNC2=NC(=O)O1,-657.3217495,4.326916516,7.3049,1.761,-26.089,test
[O-][N+](=O)C1=CN=C2OCCON12,-658.4965682,4.558759348,6.1949,1.708,-13.876,train
NN1C2=C(OC=C2)N=C1[N+]([O-])=O,-637.4369834,3.895068424,5.6659,1.699,37.739,train
CNC1=C(N=C(CO)O1)[N+]([O-])=O,-659.7841516,4.384877224,6.6738,1.564,-77.836,train
[O-][N+](=O)C1=CON2CCNN=C12,-638.599383,3.177770648,6.2636,1.612,49.749,train
CC1=C(N)N(C=O)C(=N1)[N+]([O-])=O,-638.7247609,3.4490703,6.4095,1.621,-26.736,train
OC1=C2COC2=NC=C1[N+]([O-])=O,-641.3019231,4.474403388,3.1542,1.66,-40.59,train
CNC1=NN(C=O)C=C1[N+]([O-])=O,-638.7114513,3.622136076,3.6415,1.517,-14.807,train
CC1OC2=NN(O)C(=C12)[N+]([O-])=O,-658.4203442,3.44770972,2.759,1.62,37.492,train
NCCN1C(=O)OC=C1[N+]([O-])=O,-659.7911596,3.836019252,2.0298,1.554,-78.24,train
OC1=CC(C=O)=CN=C1[N+]([O-])=O,-641.3365948,4.117659312,3.389,1.616,-60.986,train
NC1=C(OC2=C1C=NO2)[N+]([O-])=O,-657.2969355,4.43685138,6.1921,1.801,-7.286,train
CNN1C=C(C(C=O)=N1)[N+]([O-])=O,-638.6524187,4.654816296,7.5758,1.561,19.435,train
OC1=C(CC=O)NC(=N1)[N+]([O-])=O,-658.5825921,3.993846532,6.696,1.67,-68.803,train
CC(O)C1=NN=CN=C1[N+]([O-])=O,-638.6644141,3.8504414,1.3949,1.534,14.634,train
COC1=CC(=N)N=C(O1)[N+]([O-])=O,-658.5352287,3.399000956,4.3246,1.603,-36.122,train
NC(=O)C1=CC=C(N=N1)[N+]([O-])=O,-637.4981969,4.378618556,2.9582,1.627,-0.759,train
[O-][N+](=O)C1=CON=CC1=NN=C,-637.37406,4.042011064,2.529,1.575,81.842,train
NC1=C(O)C(C#C)=C(O1)[N+]([O-])=O,-641.2403371,3.470567464,6.4986,1.714,-16.639,train
ON1C(OC=C)=CN=C1[N+]([O-])=O,-658.4806569,3.922824256,5.0379,1.599,1.213,train
[O-][N+](=O)C1=C(OCC#C)N=NO1,-657.2015018,4.471137996,4.3414,1.616,50.687,train
NC1=C(N(O)C=C1C=O)[N+]([O-])=O,-658.5391294,3.719553604,2.2911,1.658,-37.309,train
OC1=CN(OC=C)N=C1[N+]([O-])=O,-658.4732193,4.249363456,4.3874,1.592,6.382,train
NC1=C(N2OC=NC2=C1)[N+]([O-])=O,-637.4338945,4.216981652,4.4077,1.74,36.45,train
NN1C=CC(C=NO)=C1[N+]([O-])=O,-638.6261253,3.871938564,3.6651,1.58,38.087,train
NC1=NC(CO)=CC(=N1)[N+]([O-])=O,-638.7350029,4.132625692,3.5234,1.592,-35.369,train
[O-][N+](=O)C1=CC(OCC=O)=NN1,-658.5416129,3.990853256,1.5038,1.598,-40.162,train
CON=CC1=COC(=N1)[N+]([O-])=O,-658.4940601,3.883367436,5.4815,1.55,-7.79,train
CN1C(=NC(=C1O)[N+]([O-])=O)C#N,-637.5016982,4.457532196,5.6905,1.619,-5.079,train
CC1=CN(NC=O)C(=N1)[N+]([O-])=O,-638.6917907,4.093713104,2.7079,1.555,-3.499,train
NC1=C2CC(=O)N2N=C1[N+]([O-])=O,-637.4466497,3.65723904,6.6337,1.684,27.19,train
CON=CC1=CC(=NN1)[N+]([O-])=O,-638.6408478,4.608828692,6.9295,1.542,28.101,train
NC1=CNC(=C1NC=O)[N+]([O-])=O,-638.7382033,3.241990024,3.2589,1.627,-35.497,train
CON=CN1C=NC=C1[N+]([O-])=O,-638.6428377,4.142421868,3.9821,1.495,31.747,train
[O-][N+](=O)C1=C(C=O)C(=N)N=CO1,-657.3170889,4.724477992,4.6866,1.67,-16.409,train
NCC1=C(O)C=C(N1O)[N+]([O-])=O,-659.7318738,3.506486776,6.7253,1.647,-42.729,train
[O-][N+](=O)C1=COC=C1NNC=N,-638.6488818,3.670028492,2.7151,1.549,22.315,train
ON1C(O)=C2CNC2=C1[N+]([O-])=O,-658.4449531,4.127183372,4.6581,1.738,15.489,train
[O-][N+](=O)C1=C(NOC1=N)C1CN1,-638.6065619,4.24364902,7.3756,1.679,40.945,test
[O-][N+](=O)C1=NN(OCC#C)N=C1,-637.326752,5.365855404,4.6097,1.552,101.783,train
NC(=N)C1=C(C=C(O)N1)[N+]([O-])=O,-638.7264002,3.660776548,2.5631,1.647,-28.341,train
[O-][N+](=O)C1=NC2=NCC=CN2O1,-637.3995665,3.23409866,4.8482,1.629,60.134,test
CNCC1=NOC(=C1O)[N+]([O-])=O,-659.726987,4.590324804,8.5134,1.572,-38.485,train
[O-][N+](=O)C1=CC(C=O)=NN1C=O,-657.3326787,4.54977952,3.045,1.633,-24.284,train
CN1N=C(C(=O)C=C1O)[N+]([O-])=O,-658.5473831,4.587059412,8.9446,1.707,-48.122,train
CNC1=C(O)C(=CN1O)[N+]([O-])=O,-659.7267178,4.11303334,5.8147,1.604,-38.181,train
CCN1NC(=C(O)C1=O)[N+]([O-])=O,-659.76851,3.805814376,4.492,1.557,-64.674,train
COC=CN1C=C(N=N1)[N+]([O-])=O,-638.6419079,4.510050584,8.2396,1.553,27.502,train
OC1=C(O)C(C#C)=C(N1)[N+]([O-])=O,-641.2573964,3.728261316,5.5751,1.719,-25.303,train
NN1N=CC(C2CO2)=C1[N+]([O-])=O,-638.6195844,3.892891496,2.5921,1.564,38.822,train
[O-][N+](=O)C1=C2N=NC=CN2C=N1,-616.3693072,4.018064856,8.8187,1.71,91.39,train
ON1C=C(O)C=C(C1=N)[N+]([O-])=O,-658.5182659,3.061577116,5.7092,1.713,-25.896,train
NC(=O)CC1=NOC(=C1)[N+]([O-])=O,-658.5507946,4.59739982,6.873,1.616,-48.473,train
ONC(=O)C1=CNC=C1[N+]([O-])=O,-658.5484482,3.564447484,6.3968,1.706,-46.997,train
NC1=C(CO)NC(O)=C1[N+]([O-])=O,-659.8011543,3.506758892,3.5724,1.63,-88.339,train
[O-][N+](=O)C1=NN(CC=C)C(=O)O1,-658.5396802,4.343243476,4.5123,1.552,-37.202,train
CC#CC1=NN=C(N=N1)[N+]([O-])=O,-616.275533,3.688260264,6.5451,1.541,146.845,train
ON1C(=N)OC(C=C)=C1[N+]([O-])=O,-658.482905,3.267024696,3.7664,1.607,-0.258,train
[O-][N+](=O)C1=C2CNC2=NC(=O)N1,-637.4784986,3.573699428,5.4323,1.73,4.299,test
CN1N=CC(=C1[N+]([O-])=O)[N+]([O-])=O,-674.4942349,4.706518336,5.0636,1.665,27.296,train
OC1CON2C=C(N=C12)[N+]([O-])=O,-658.5004403,5.092106708,6.3476,1.714,-20.609,train
OC1=CN2C(=O)CC2=C1[N+]([O-])=O,-641.2977204,3.793569156,1.691,1.639,-40.11,train
ON=C1OC(=C2CCN12)[N+]([O-])=O,-658.4480546,3.451247228,6.9785,1.668,14.019,train
CCC1=C(C(=O)N(O)N1)[N+]([O-])=O,-659.7181131,4.558487232,6.5724,1.63,-35.688,train
NC1COC2=C1C(=NN2)[N+]([O-])=O,-638.668692,4.230315336,5.078,1.644,5.693,train
[O-][N+](=O)C1=CC2=C(CNC2=O)O1,-641.3157009,4.694545232,5.0359,1.682,-56.394,train
O=C1ON2C(=O)N=C(C#C)C2=N1,-619.0056861,3.580502328,5.2061,1.687,30.322,test
CC(=O)N1N=C(C)C(=N1)[N+]([O-])=O,-638.7004892,5.237960884,1.2464,1.492,-6.358,train
ON1C=CC2=C1ON=C2[N+]([O-])=O,-657.2268152,4.126911256,6.6164,1.777,38.51,train
NC1=C(C2=C(N1)OCO2)[N+]([O-])=O,-658.5291434,3.439002008,6.372,1.81,-39.908,train
OC1=CNC2=NC=C(N12)[N+]([O-])=O,-637.4988552,3.651252488,5.363,1.736,-0.714,train
[O-][N+](=O)C1=C(C=O)C=NN1C=N,-637.4537401,4.316303992,3.9226,1.589,29.564,train
[O-][N+](=O)C1=C2OCC2=NC(=N)N1,-637.4301477,2.8095977,4.3524,1.659,40.334,test
OC(C=O)C1=CNN=C1[N+]([O-])=O,-658.5520054,4.763934812,4.5918,1.661,-47.857,train
CC1=C(N(N)C=NC1=O)[N+]([O-])=O,-638.6797955,3.746220972,4.2178,1.657,-0.08,train
OCCN=C1ONC=C1[N+]([O-])=O,-659.7051604,4.039834136,7.4588,1.643,-30.908,train
[O-][N+](=O)C1=NC=C2CC(=O)NN12,-637.4766609,4.57563054,4.2466,1.678,10.218,train
[O-][N+](=O)C1=C2CON=C2OC=C1,-641.243893,2.884157484,2.3331,1.645,-3.825,train
CC(=O)CN1C=C(N=N1)[N+]([O-])=O,-638.6755783,5.039044088,4.0928,1.53,4.71,train
[O-][N+](=O)C1=NOC2=C1C=CNO2,-657.2244926,3.237908284,6.4351,1.763,42.151,test
OC1=C(C(=N)C=NC=N1)[N+]([O-])=O,-637.4436787,3.972349368,5.6093,1.657,31.47,train
[O-][N+](=O)C1=COC(=N)N=CC1=N,-637.4403153,4.67767404,1.8904,1.605,39.127,train
COCC1=CN=NC(=N1)[N+]([O-])=O,-638.651414,4.45726008,7.0457,1.499,20.876,train
CN1N=C(C(C)=NC1=O)[N+]([O-])=O,-638.7016886,4.498621712,1.1133,1.533,-8.517,train
NCCC1=C(ONC1=O)[N+]([O-])=O,-659.7307513,3.662409244,1.9213,1.563,-42.562,train
[O-][N+](=O)C1=C(OC=C)C(=O)NN1,-658.5153134,3.409069248,2.8039,1.642,-22.521,train
CN1C(=N)OC(=C1CO)[N+]([O-])=O,-659.7651694,3.691525656,5.5045,1.604,-65.975,train
CC1OC2=NNC(=C2O1)[N+]([O-])=O,-658.5258893,3.841733688,3.6093,1.645,-30.376,train
CN1C(OC=O)=NC=C1[N+]([O-])=O,-658.5811998,4.749512664,4.5545,1.607,-62.964,train
[O-][N+](=O)C1=NC=C2C=NN=CN12,-616.3811166,4.227594176,3.51,1.654,87.785,train
NCCC1=C(C(=O)NO1)[N+]([O-])=O,-659.7384323,4.371271424,6.6218,1.604,-49.053,train
CN1C=C(N(C=O)C1=N)[N+]([O-])=O,-638.7136217,3.616149524,4.6813,1.57,-15.739,train
CC(=O)N=C1NC=C(O1)[N+]([O-])=O,-658.5847905,4.060787068,3.499,1.62,-66.603,train
[O-][N+](=O)C1=C(C=O)C=CN1C=O,-641.3179447,3.92391272,1.9439,1.598,-48.271,train
[O-][N+](=O)C1=CN(C=N1)C(=O)C=O,-657.3533145,3.951396436,5.7254,1.707,-40.239,train
CC1=C(N=C(NC=N)O1)[N+]([O-])=O,-638.7139771,4.172082512,4.055,1.543,-19.535,train
OCC1=CNC(=O)C(=N1)[N+]([O-])=O,-658.5715683,4.109495832,6.6501,1.664,-63.596,train
NCC1=C(O)N(O)C(=C1)[N+]([O-])=O,-659.7364692,3.912211732,7.6924,1.659,-45.718,train
CNC1=CNC(=NC1=O)[N+]([O-])=O,-638.7239629,3.01096354,7.6386,1.618,-28.724,train
COCC1=C(N)N=C(O1)[N+]([O-])=O,-659.7590528,3.556011888,7.1191,1.531,-61.066,train
OC1=C(N=CN=C1[N+]([O-])=O)C#N,-636.2793148,4.196572952,1.7595,1.673,18.501,train
CC1=C(OC(=N1)C(N)=O)[N+]([O-])=O,-658.5974612,4.716314512,5.9674,1.627,-77.67,train
[O-][N+](=O)C1=CN=CN=C1[N+]([O-])=O,-673.2965144,4.690191376,4.0121,1.724,33.446,train
[O-][N+](=O)C1=C(CN2CC2)N=NO1,-638.5892311,3.546487828,3.7119,1.492,59.36,test
COC1=NNC(=C1OC)[N+]([O-])=O,-659.7422486,3.873299144,5.0918,1.547,-45.702,train
NC1=NC=C(C(=O)C=N1)[N+]([O-])=O,-637.4784447,3.987587864,8.0506,1.707,7.244,train
CC1=NC(C=C(O1)[N+]([O-])=O)=NN,-638.6764953,3.094231036,5.4325,1.546,4.808,train
ON1C(=CN=C1[N+]([O-])=O)C1CO1,-658.4773784,4.218342232,4.3326,1.63,-1.455,train
OC1=CN2N=CC(=C2O1)[N+]([O-])=O,-657.3149853,4.652095136,5.3291,1.801,-18.294,train
CC(=O)C1=NC=C(N1O)[N+]([O-])=O,-658.5302987,4.536717952,4.4681,1.598,-29.185,train
NCC1=NC(=CNC1=O)[N+]([O-])=O,-638.7249702,4.187048892,3.8935,1.602,-27.619,train
CN1N=CC(NC=O)=C1[N+]([O-])=O,-638.7167821,3.936430056,1.1042,1.552,-17.658,train
NC1=C(OC(=N1)[N+]([O-])=O)N1CC1,-638.6522394,3.439274124,6.2284,1.565,14.983,train
[O-][N+](=O)C1=NC(=N)NC=C1C#N,-616.4015838,3.745948856,5.8623,1.626,67.413,train
[O-][N+](=O)C1=CN=CN1NCC=O,-638.6604961,4.54297662,5.4679,1.575,15.079,train
CN1C=C(C=NO)N=C1[N+]([O-])=O,-638.6595015,3.969900324,5.9595,1.577,15.23,train
[O-][N+](=O)C1=NNC(=O)C2=C1OC2,-657.2956401,4.286371232,3.0355,1.727,-5.352,test
O=C1ON=CC#CC2=NC1=NO2,-618.8293766,4.580528628,3.6526,1.688,148.938,test
CC(=NO)C1=C(N=CN1)[N+]([O-])=O,-638.672164,4.376713744,7.125,1.662,5.581,train
NN=CC1=CC(=C(N)O1)[N+]([O-])=O,-638.6812332,3.608530276,6.5214,1.627,-3.218,train
NC1COC2=C1N=C(O2)[N+]([O-])=O,-658.5221675,4.030582192,5.9156,1.673,-32.542,train
NC(=N)OC1=CNC=C1[N+]([O-])=O,-638.70603,4.629781624,3.7929,1.634,-17.699,train
OCC1=NC(=O)NC=C1[N+]([O-])=O,-658.5938503,4.317392456,4.7243,1.71,-76.497,train
COCCC1=C(ON=N1)[N+]([O-])=O,-659.704074,4.145143028,4.0043,1.466,-21.695,train
NC1=COC(NC=O)=C1[N+]([O-])=O,-658.5848188,3.470023232,5.1419,1.651,-68.858,train
OC1COC2=C1NC(=N2)[N+]([O-])=O,-658.5480725,3.837924064,5.4719,1.711,-49.653,train
OC1=CNC2=C1ON=C2[N+]([O-])=O,-657.2863882,3.402538464,4.5818,1.775,1.361,train
[O-][N+](=O)C1=CN(NC1=O)N1CC1,-638.6041471,4.356849276,10.2894,1.649,42.752,train
NC1=CC2=NNC(=C2O1)[N+]([O-])=O,-637.4597562,3.39056536,5.0015,1.711,20.053,train
CCOC1=CN(O)N=C1[N+]([O-])=O,-659.6986564,4.682300012,6.4527,1.595,-23.158,train
[O-][N+](=O)C1=NC(ON1)=NCC#C,-637.3463416,3.224846716,1.4323,1.568,88.501,train
NN1N=C(C2=C1OC=C2)[N+]([O-])=O,-637.4201837,4.442021584,4.9991,1.711,45.972,train
CC1=C(N=C(N1)[N+]([O-])=O)[N+]([O-])=O,-674.5356654,4.704069292,6.3826,1.709,-2.019,train
CC#CC1=NN=C(N1O)[N+]([O-])=O,-637.3634274,3.935885824,5.6568,1.588,79.491,train
[O-][N+](=O)C1=NC=C(C#N)N1N=C,-616.3463253,4.6463807,3.1162,1.569,106.036,train
OC1=CNC2=NOC(=C12)[N+]([O-])=O,-657.2935368,2.914090244,5.4523,1.753,-0.664,train
ON1C=C(N=C1[N+]([O-])=O)C1CO1,-658.479397,4.095617916,3.1079,1.619,-2.412,train
NC1=NC=C(CO)N=C1[N+]([O-])=O,-638.7248613,3.877925116,4.9346,1.59,-27.508,train
[O-][N+](=O)C1=NC(=NN1N=C)C#C,-616.2859377,4.449368716,4.788,1.557,141.398,train
COC1=C(C)N=NN=C1[N+]([O-])=O,-638.6313781,4.595767124,6.0369,1.516,36.032,train
COC1=C(CO)NN=C1[N+]([O-])=O,-659.745649,4.716042396,7.4014,1.63,-54.288,train
CC1=C(N=C(O1)C(N)=N)[N+]([O-])=O,-638.7184986,4.23004322,2.6081,1.538,-21.976,train
COC1=C(O)C(=CN1N)[N+]([O-])=O,-659.7395957,3.54839264,5.887,1.606,-47.011,train
OCCC1=C(N=CN1O)[N+]([O-])=O,-659.7403327,5.002580544,7.2162,1.667,-50.461,train
[O-][N+](=O)C1=C(CN2CC2)ON=N1,-638.5985873,4.22324032,4.0105,1.508,53.458,test
[O-][N+](=O)C1=C(C2CN2)C(=O)NN1,-638.6473174,3.425668324,1.2681,1.645,17.75,test
OCC#CC1=CC(=NO1)[N+]([O-])=O,-641.2020074,4.605835416,4.9594,1.569,12.758,train
[O-][N+](=O)C1=NN=C(O1)N1CCC1,-638.6452428,4.049630312,7.8404,1.542,21.979,test
[O-][N+](=O)C1=NOC(C=O)=C1C#C,-639.9800361,4.40419746,2.5562,1.619,38.794,train
CC1=C(N(O)C(=N)C=N1)[N+]([O-])=O,-638.6326187,2.888783456,1.0905,1.551,37.366,train
CC1=NON2C(=CN=C12)[N+]([O-])=O,-637.3959382,4.822167636,4.7077,1.599,66.254,train
[O-][N+](=O)C1=C(C#C)C(=NO1)C#N,-618.8920954,4.363107944,2.3262,1.589,102.617,train
OC1CC1N1N=CC(=N1)[N+]([O-])=O,-638.6415762,4.799309892,4.2794,1.573,21.207,test
NC1=C(C2=C(N1)C=NO2)[N+]([O-])=O,-637.4526074,4.176164252,8.9089,1.796,24.128,train
[O-][N+](=O)C1=C2N(NNC2=O)C=C1,-637.4401479,4.749512664,8.0865,1.766,33.069,train
ON=CNN1C=CC=C1[N+]([O-])=O,-638.6148154,4.166640192,3.7416,1.558,44.364,train
CC=NN1NC(=CC1=O)[N+]([O-])=O,-638.6520177,3.31437288,3.1695,1.535,22.013,train
[O-][N+](=O)C1=NN=CN1C(=C)C=O,-637.4397064,4.944619836,7.7183,1.616,36.936,train
CC1=NOC(=CC1=NO)[N+]([O-])=O,-658.4634978,3.619959148,5.2404,1.609,10.849,train
CC1=C(C=O)N=NN=C1[N+]([O-])=O,-637.4254963,4.299160684,3.1219,1.575,48.223,train
CC1COC2=C(N=NN12)[N+]([O-])=O,-638.6560259,5.31850722,8.9523,1.608,14.821,train
CC(=NN)C1=NC=C(O1)[N+]([O-])=O,-638.6732305,3.790031648,6.6878,1.571,5.347,train
[O-][N+](=O)C1=NC=C2N=COC2=N1,-636.2891211,4.88856394,5.7572,1.745,12.688,train
CC1=C(C=NN=NC1=O)[N+]([O-])=O,-637.3954251,3.825678844,2.0519,1.575,66.991,train
NN1C=C2OC=NC2=C1[N+]([O-])=O,-637.4386097,4.3266444,4.691,1.705,36.842,train
NC1=COC(=C1NC=O)[N+]([O-])=O,-658.5804419,3.494241556,3.334,1.66,-65.374,train
CN1C=C(C(=O)OC1=N)[N+]([O-])=O,-658.5863487,4.691007724,6.3959,1.659,-68.639,train
CC1=C(C(NN=C)=NO1)[N+]([O-])=O,-638.6257726,4.499710176,2.3666,1.521,38.937,train
[O-][N+](=O)C1=CON=C1C#CC#N,-618.9087122,5.026798868,4.5888,1.616,91.286,train
OCC1=C(N=C(O1)[N+]([O-])=O)C#C,-641.2315051,4.180790224,4.4834,1.586,-6.868,train
CCN=C1ON=CC(=N1)[N+]([O-])=O,-638.6249573,3.5715225,2.7687,1.51,38.834,train
